,Name,Drive,NumberofSeats,Battery,Car_name_link,Efficiency_Wh_km,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
247,Hyundai Kona Electric 65 kWh,Front Wheel Drive,5,65.4,https://ev-database.org/car/1830/Hyundai-Kona-Electric-65-kWh,168,400.0,47190.0,390,170,8.8
248,Volkswagen ID.3 Pro,Rear Wheel Drive,5,58.0,https://ev-database.org/car/1831/Volkswagen-ID3-Pro,166,450.0,39995.0,350,160,7.3
249,Volkswagen ID.3 Pro S - 4 Seats,Rear Wheel Drive,4,77.0,https://ev-database.org/car/1832/Volkswagen-ID3-Pro-S---4-Seats,169,680.0,47595.0,455,160,7.9
250,Kia EV9 99.8 kWh RWD,Rear Wheel Drive,7,96.0,https://ev-database.org/car/1834/Kia-EV9-998-kWh-RWD,213,780.0,72490.0,450,185,9.4
251,Kia EV9 99.8 kWh AWD,All Wheel Drive,7,96.0,https://ev-database.org/car/1835/Kia-EV9-998-kWh-AWD,226,740.0,76490.0,425,200,6.0
252,BMW i7 M70 xDrive,All Wheel Drive,5,101.7,https://ev-database.org/car/1838/BMW-i7-M70-xDrive,208,730.0,181800.0,490,250,3.7
253,Volkswagen ID.7 Pro,Rear Wheel Drive,5,77.0,https://ev-database.org/car/1839/Volkswagen-ID7-Pro,162,710.0,56995.0,475,180,6.5
254,Volkswagen ID.7 Pro S,Rear Wheel Drive,5,86.0,https://ev-database.org/car/1840/Volkswagen-ID7-Pro-S,165,800.0,60000.0,520,180,7.0
255,Polestar 4 Long Range Single Motor,Rear Wheel Drive,5,94.0,https://ev-database.org/car/1841/Polestar-4-Long-Range-Single-Motor,190,740.0,63200.0,495,180,7.4
256,Polestar 4 Long Range Dual Motor,All Wheel Drive,5,94.0,https://ev-database.org/car/1842/Polestar-4-Long-Range-Dual-Motor,202,690.0,71200.0,465,200,3.8
257,Maserati Grecale Folgore,All Wheel Drive,5,95.0,https://ev-database.org/car/1843/Maserati-Grecale-Folgore,235,440.0,124300.0,405,220,4.1
